2   OIII4363    4363.21    18	 790  800  920  930      p   
2   OII4366     4366.89    18    853  863  995 1005      p
2   NIII4379    4379.11    18   1150 1160 1265 1275      p
2   NIII4379    4379.11    19    245  255  365  375      s
2   HeI4387	    4387.93    19    425  435  575  585      p
2   HeI4387	    4387.93    18   1335 1345 1475 1485      s
2   HeI4437	    4437.55    20    610  620  740  750      p
2   HeI4471 	4471.474   21    412  422  568  578      p
2   HeI4471 	4471.474   20   1346 1356 1475 1485      s
2   HeII4541    4541.591   22    985  995 1110 1120      p
2   OII4591     4590.97    23   1070 1080 1225 1235      p
2   OII4591     4590.97    24    160  170  262  272      s
2   OII4596     4596.18    23   1190 1200 1345 1355      p
2   OII4596     4596.18    24    240  250  372  382      s
2   OII4602	    4602.13    24    338  348  490  500      p
2   OII4602	    4602.13    23   1300 1310 1465 1475      s 
2   NIII4634    4634.126   24	1012 1022 1165 1175      p
2   NIII4634    4634.126   25    100  110  186  196      s #continuo brillante (izquierdo)
2   OII4639 	4638.855   24	1140 1150 1237 1244      p
2   OII4639 	4638.855   25    192  202  270  280      s
2   NIII4641    4640.644   24	1165 1175 1325 1335      p
2   NIII4641    4640.644   25    200  210  356  366      s
2   OII4642 	4641.810   24	1190 1200 1340 1350      p
2   OII4642 	4641.810   25    217  227  375  385      s
2   CIII4647    4647.49    25    375  385  448  458      p
2   CIII4647    4647.49    24   1325 1335 1455 1465      s
2   OII4649 	4649.135   25    390  400  535  545      p
2   OII4649 	4649.135   24   1340 1350 1470 1480      s 
2   CIII4650    4650.25    25    400  410  540  550      p
2   CIII4650    4650.25    24   1390 1400 1490 1500      s
2   OII4651 	4650.839   25    400  410  550  560      p
2   OII4651 	4650.839   24   1391 1399 1491 1500      s
2   CIV4658 	4658.30    25    575  585  685  695      p
2   OII4662 	4661.633   25	 635  645  785  795      p
2   OII4674 	4673.732   25	 911  921 1008 1018      p  
2   OII4676 	4676.235   25	 940  950 1087 1097      p
2   HeII4686    4685.71	   25	1163 1173 1275 1285      p
2   HeII4686    4685.71	   26    190  200  300  310      s
2   OII4696 	4696.347   26    385  395  515  525      p
2   ArIV4711    4711.34    26  	 702  712  853  863	     p	
2   HeI4713 	4713.139   26    715  725  865  875      p  
